#V3.30.01.05-trans
#_SS-V3.30.01.05-trans;_2017_01_13;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_11.2
#_SS-V3.30.01.05-trans;user_support_available_at:NMFS.Stock.Synthesis@noaa.gov
#_SS-V3.30.01.05-trans;user_info_available_at:https://vlab.ncep.noaa.gov/group/stock-synthesis
#_Start_time: Tue Jan 31 09:42:17 2017
#_Number_of_datafiles: 2
#_observed data:
#V3.30.01.05-trans
1889 #_styr
2016 #_endyr
1 #_nseas
12 #_months/season
2 #_N_subseasons(even number, minimum is 2)
1 #_spawn_month
2 #_Ngenders
25 #_Nages=accumulator age
1 #_N_areas
8 #_Nfleets (including surveys)
#_fleet_type: 1=catch fleet; 2=bycatch only fleet; 3=survey; 4=ignore 
#_survey_timing: -1=for use of catch-at-age to override the month value associated with a datum 
#_fleet_area:  area the fleet/survey operates in 
#_units of catch:  1=bio; 2=num (ignored for surveys; their units read later)
#_catch_mult: 0=no; 1=yes
#_rows are fleets
#_fleet_type, timing, area, units, need_catch_mult fleetname
#north fishery
1	-1	1	1	0	1_N_TRAWL	#
1	-1	1	1	0	2_N_FIX	# this is the OR nearshore index
1	-1	1	2	0	3_WA_REC	#
1	-1	1	1	0	4_OR_REC	#
#North survey
3	0.5	1	1	0	5_N_TRI_Early	#
3	0.5	1	1	0	6_N_TRI_Late	#
3	0.5	1	1	0	7_N_NWFSC	#
#research studies
#Lam study
3 0.5  1 1 0 8_N_Lam_Research  #
#_Catch data: yr, seas, fleet, catch, catch_se
#_catch_se:  standard error of log(catch); can be overridden in control file with detailed F input
#Year	Season	Fleet	Catch	Catch_se
#commercial fleets
1954	1	1	483.087	0.01
1955	1	1	1041.098	0.01
1956	1	1	757.747	0.01
1957	1	1	801.281	0.01
1958	1	1	920.138	0.01
1959	1	1	1493.711	0.01
1960	1	1	1699.765	0.01
1961	1	1	1628.96	0.01
1962	1	1	935.312	0.01
1963	1	1	697.901	0.01
1964	1	1	1118.348	0.01
1965	1	1	1265.592	0.01
1966	1	1	1376.613	0.01
1967	1	1	2029.966	0.01
1968	1	1	2315.916	0.01
1969	1	1	1267.058	0.01
1970	1	1	842.956	0.01
1971	1	1	981.478	0.01
1972	1	1	963.531	0.01
1973	1	1	1431.628	0.01
1974	1	1	1626.9	0.01
1975	1	1	1584.91	0.01
1976	1	1	1552.711	0.01
1977	1	1	1451.065	0.01
1978	1	1	1163.36	0.01
1979	1	1	1948.552	0.01
1980	1	1	1973.839	0.01
1981	1	1	1831.911	0.01
1982	1	1	2162.994	0.01
1983	1	1	2914.079	0.01
1984	1	1	2752.476	0.01
1985	1	1	2781.033	0.01
1986	1	1	1098.052	0.01
1987	1	1	1442.87	0.01
1988	1	1	1467.472	0.01
1989	1	1	1936.978	0.01
1990	1	1	1493.832	0.01
1991	1	1	2186.611	0.01
1992	1	1	1091.995	0.01
1993	1	1	1363.121	0.01
1994	1	1	1140.863	0.01
1995	1	1	824.354	0.01
1996	1	1	942.794	0.01
1997	1	1	875.815	0.01
1998	1	1	145.625	0.01
1999	1	1	149.477	0.01
2000	1	1	48.033	0.01
2001	1	1	39.587	0.01
2002	1	1	74.464	0.01
2003	1	1	56.258	0.01
2004	1	1	60.335	0.01
2005	1	1	79.316	0.01
2006	1	1	115.584	0.01
2007	1	1	113.626	0.01
2008	1	1	118.791	0.01
2009	1	1	93.466	0.01
2010	1	1	77.76	0.01
2011	1	1	283.431	0.01
2012	1	1	373.229	0.01
2013	1	1	360.35	0.01
2014	1	1	217.53	0.01
2015	1	1	163.399	0.01
2016	1	1	262.740	0.01
-999	1	2	0	0.01
1889	1	2	109	0.01
1890	1	2	112.67	0.01
1891	1	2	115.53	0.01
1892	1	2	158.353	0.01
1893	1	2	125.432	0.01
1894	1	2	125.432	0.01
1895	1	2	136.781	0.01
1896	1	2	164.508	0.01
1897	1	2	164.961	0.01
1898	1	2	70.954	0.01
1899	1	2	45.231	0.01
1900	1	2	57.329	0.01
1901	1	2	58.606	0.01
1902	1	2	59.883	0.01
1903	1	2	61.16	0.01
1904	1	2	73.258	0.01
1905	1	2	57.795	0.01
1906	1	2	59.072	0.01
1907	1	2	60.35	0.01
1908	1	2	44.887	0.01
1909	1	2	193.614	0.01
1910	1	2	194.892	0.01
1911	1	2	196.169	0.01
1912	1	2	197.446	0.01
1913	1	2	198.724	0.01
1914	1	2	200.001	0.01
1915	1	2	348.728	0.01
1916	1	2	508.436	0.01
1917	1	2	509.713	0.01
1918	1	2	669.42	0.01
1919	1	2	223.778	0.01
1920	1	2	177.495	0.01
1921	1	2	165.912	0.01
1922	1	2	93.209	0.01
1923	1	2	82.417	0.01
1924	1	2	195.834	0.01
1925	1	2	260.491	0.01
1926	1	2	294.789	0.01
1927	1	2	362.367	0.01
1928	1	2	290.642	0.01
1929	1	2	566.269	0.01
1930	1	2	483.296	0.01
1931	1	2	256.397	0.01
1932	1	2	251.458	0.01
1933	1	2	368.835	0.01
1934	1	2	417.542	0.01
1935	1	2	426.874	0.01
1936	1	2	562.132	0.01
1937	1	2	504.564	0.01
1938	1	2	1166.117	0.01
1939	1	2	735.306	0.01
1940	1	2	852.987	0.01
1941	1	2	781.942	0.01
1942	1	2	870.335	0.01
1943	1	2	624.483	0.01
1944	1	2	705.195	0.01
1945	1	2	425.888	0.01
1946	1	2	638.924	0.01
1947	1	2	371.801	0.01
1948	1	2	485.976	0.01
1949	1	2	612.247	0.01
1950	1	2	379.543	0.01
1951	1	2	380.38	0.01
1952	1	2	423.003	0.01
1953	1	2	184.009	0.01
1954	1	2	251.29	0.01
1955	1	2	199.208	0.01
1956	1	2	187.488	0.01
1957	1	2	204.147	0.01
1958	1	2	161.657	0.01
1959	1	2	144.181	0.01
1960	1	2	197.411	0.01
1961	1	2	169.456	0.01
1962	1	2	149.042	0.01
1963	1	2	111.362	0.01
1964	1	2	87.948	0.01
1965	1	2	83.887	0.01
1966	1	2	102.216	0.01
1967	1	2	127.05	0.01
1968	1	2	96.581	0.01
1969	1	2	135.252	0.01
1970	1	2	158.828	0.01
1971	1	2	138.319	0.01
1972	1	2	128.711	0.01
1973	1	2	123.699	0.01
1974	1	2	89.297	0.01
1975	1	2	133.138	0.01
1976	1	2	109.336	0.01
1977	1	2	198.822	0.01
1978	1	2	218.852	0.01
1979	1	2	275.955	0.01
1980	1	2	144.017	0.01
1981	1	2	200.337	0.01
1982	1	2	291.945	0.01
1983	1	2	337.754	0.01
1984	1	2	330.403	0.01
1985	1	2	388.778	0.01
1986	1	2	252.376	0.01
1987	1	2	279.235	0.01
1988	1	2	263.815	0.01
1989	1	2	357.456	0.01
1990	1	2	360.821	0.01
1991	1	2	184.85	0.01
1992	1	2	185.011	0.01
1993	1	2	148.085	0.01
1994	1	2	201.875	0.01
1995	1	2	103.464	0.01
1996	1	2	134.627	0.01
1997	1	2	182.508	0.01
1998	1	2	53.55	0.01
1999	1	2	65.092	0.01
2000	1	2	40.8	0.01
2001	1	2	53.263	0.01
2002	1	2	48.867	0.01
2003	1	2	49.426	0.01
2004	1	2	53.303	0.01
2005	1	2	58.007	0.01
2006	1	2	78.628	0.01
2007	1	2	71.174	0.01
2008	1	2	92.775	0.01
2009	1	2	81.468	0.01
2010	1	2	47.215	0.01
2011	1	2	57.639	0.01
2012	1	2	64.873	0.01
2013	1	2	78.338	0.01
2014	1	2	82.199	0.01
2015	1	2	132.545	0.01
2016	1	2	98.309	0.01
#recreational
-999	1	3	0	0.01
1889	1	3	0	0
1890	1	3	0	0
1891	1	3	0	0
1892	1	3	0	0
1893	1	3	0	0
1894	1	3	0	0
1895	1	3	0	0
1896	1	3	0	0
1897	1	3	0	0
1898	1	3	0	0
1899	1	3	0	0
1900	1	3	0	0
1901	1	3	0	0
1902	1	3	0	0
1903	1	3	0	0
1904	1	3	0	0
1905	1	3	0	0
1906	1	3	0	0
1907	1	3	0	0
1908	1	3	0	0
1909	1	3	0	0
1910	1	3	0	0
1911	1	3	0	0
1912	1	3	0	0
1913	1	3	0	0
1914	1	3	0	0
1915	1	3	0	0
1916	1	3	0	0
1917	1	3	0	0
1918	1	3	0	0
1919	1	3	0	0
1920	1	3	0	0
1921	1	3	0	0
1922	1	3	0	0
1923	1	3	0	0
1924	1	3	0	0
1925	1	3	0	0
1926	1	3	0	0
1927	1	3	0	0
1928	1	3	0	0
1929	1	3	0	0
1930	1	3	0	0
1931	1	3	0	0
1932	1	3	0	0
1933	1	3	0	0
1934	1	3	0	0
1935	1	3	0	0
1936	1	3	0	0
1937	1	3	0	0
1938	1	3	0	0
1939	1	3	0	0
1940	1	3	0	0
1941	1	3	0	0
1942	1	3	0	0
1943	1	3	0	0
1944	1	3	0	0
1945	1	3	0	0
1946	1	3	0	0
1947	1	3	0	0
1948	1	3	0	0
1949	1	3	0	0
1950	1	3	0	0
1951	1	3	0	0
1952	1	3	0	0
1953	1	3	0	0
1954	1	3	0	0
1955	1	3	0	0
1956	1	3	0	0
1957	1	3	0	0
1958	1	3	0	0
1959	1	3	0	0
1960	1	3	0	0
1961	1	3	0	0
1962	1	3	0	0
1963	1	3	0	0
1964	1	3	0	0
1965	1	3	0	0
1966	1	3	0	0
1967	1	3	8.469	0.01
1968	1	3	10.371	0.01
1969	1	3	10.371	0.01
1970	1	3	10.371	0.01
1971	1	3	10.371	0.01
1972	1	3	10.371	0.01
1973	1	3	10.371	0.01
1974	1	3	10.371	0.01
1975	1	3	12.273	0.01
1976	1	3	6.856	0.01
1977	1	3	9.249	0.01
1978	1	3	7.735	0.01
1979	1	3	6.62	0.01
1980	1	3	8.635	0.01
1981	1	3	9.546	0.01
1982	1	3	10.565	0.01
1983	1	3	13.057	0.01
1984	1	3	21.902	0.01
1985	1	3	17.182	0.01
1986	1	3	18.152	0.01
1987	1	3	19.599	0.01
1988	1	3	19.599	0.01
1989	1	3	19.599	0.01
1990	1	3	21.046	0.01
1991	1	3	20.307	0.01
1992	1	3	30.299	0.01
1993	1	3	38.801	0.01
1994	1	3	36.027	0.01
1995	1	3	21.458	0.01
1996	1	3	19.062	0.01
1997	1	3	17.934	0.01
1998	1	3	11.751	0.01
1999	1	3	13.587	0.01
2000	1	3	9.934	0.01
2001	1	3	12.134	0.01
2002	1	3	16.207	0.01
2003	1	3	20.023	0.01
2004	1	3	23.935	0.01
2005	1	3	22.8123	0.01
2006	1	3	17.159	0.01
2007	1	3	18.30053	0.01
2008	1	3	18.87933	0.01
2009	1	3	20.19314	0.01
2010	1	3	26.35974	0.01
2011	1	3	37.69542	0.01
2012	1	3	39.40285	0.01
2013	1	3	38.64036	0.01
2014	1	3	40.63598	0.01
2015	1	3	37.8113	0.01
2016	1	3	50.8863	0.01
-999	1	4	0	0.01
1889	1	4	0	0
1890	1	4	0	0
1891	1	4	0	0
1892	1	4	0	0
1893	1	4	0	0
1894	1	4	0	0
1895	1	4	0	0
1896	1	4	0	0
1897	1	4	0	0
1898	1	4	0	0
1899	1	4	0	0
1900	1	4	0	0
1901	1	4	0	0
1902	1	4	0	0
1903	1	4	0	0
1904	1	4	0	0
1905	1	4	0	0
1906	1	4	0	0
1907	1	4	0	0
1908	1	4	0	0
1909	1	4	0	0
1910	1	4	0	0
1911	1	4	0	0
1912	1	4	0	0
1913	1	4	0	0
1914	1	4	0	0
1915	1	4	0	0
1916	1	4	0	0
1917	1	4	0	0
1918	1	4	0	0
1919	1	4	0	0
1920	1	4	0	0
1921	1	4	0	0
1922	1	4	0	0
1923	1	4	0	0
1924	1	4	0	0
1925	1	4	0	0
1926	1	4	0	0
1927	1	4	0	0
1928	1	4	0	0
1929	1	4	0	0
1930	1	4	0	0
1931	1	4	0	0
1932	1	4	0	0
1933	1	4	0	0
1934	1	4	0	0
1935	1	4	0	0
1936	1	4	0	0
1937	1	4	0	0
1938	1	4	0	0
1939	1	4	0	0
1940	1	4	0	0
1941	1	4	0	0
1942	1	4	0	0
1943	1	4	0	0
1944	1	4	0	0
1945	1	4	0	0
1946	1	4	0	0
1947	1	4	0	0
1948	1	4	0	0
1949	1	4	0	0
1950	1	4	0	0
1951	1	4	0	0
1952	1	4	0	0
1953	1	4	0	0
1954	1	4	0	0
1955	1	4	0	0
1956	1	4	0	0
1957	1	4	0	0
1958	1	4	0	0
1959	1	4	0	0
1960	1	4	0	0
1961	1	4	0	0
1962	1	4	0	0
1963	1	4	0	0
1964	1	4	0	0
1965	1	4	0	0
1966	1	4	0	0
1967	1	4	0	0
1968	1	4	0	0
1969	1	4	0	0
1970	1	4	0	0
1971	1	4	0	0
1972	1	4	0	0
1973	1	4	0	0
1974	1	4	80.38468361	0.01
1975	1	4	84.79827312	0.01
1976	1	4	116.7517438	0.01
1977	1	4	110.2050831	0.01
1978	1	4	118.8815383	0.01
1979	1	4	121.6732482	0.01
1980	1	4	149.7621921	0.01
1981	1	4	117.449274	0.01
1982	1	4	119.6399322	0.01
1983	1	4	129.0111535	0.01
1984	1	4	143.8824107	0.01
1985	1	4	98.94230607	0.01
1986	1	4	92.40841671	0.01
1987	1	4	122.9340625	0.01
1988	1	4	90.48891747	0.01
1989	1	4	120.0001109	0.01
1990	1	4	96.89324823	0.01
1991	1	4	73.50324823	0.01
1992	1	4	112.4032482	0.01
1993	1	4	145.8747943	0.01
1994	1	4	142.4597163	0.01
1995	1	4	79.58288934	0.01
1996	1	4	93.16021616	0.01
1997	1	4	110.8395184	0.01
1998	1	4	69.95528531	0.01
1999	1	4	79.72556287	0.01
2000	1	4	51.1929554	0.01
2001	1	4	61.7592497	0.01
2002	1	4	82.40469841	0.01
2003	1	4	122.4962306	0.01
2004	1	4	108.72801	0.01
2005	1	4	140.8430639	0.01
2006	1	4	107.6150231	0.01
2007	1	4	104.0212676	0.01
2008	1	4	89.34339848	0.01
2009	1	4	78.76206814	0.01
2010	1	4	93.94227125	0.01
2011	1	4	114.988464	0.01
2012	1	4	155.2518339	0.01
2013	1	4	224.0013452	0.01
2014	1	4	176.0937467	0.01
2015	1	4	226.1688055	0.01
2016	1	4	154.6624065	0.01
-9999 0 0 0 0
#
#_CPUE_and_surveyabundance_observations
#_Units:  0=numbers; 1=biomass; 2=F; >=30 for special types
#_Errtype:  -1=normal; 0=lognormal; >0=T
#_Fleet Units Errtype   SDreport
1 1 0 0 # Trawl
2 1 0 0 # Fix
3 0 0 0 # Rec WA
4 0 0 0 # Rec OR - observer or dockside
5 1 0 0 #n tri e
6 1 0 0 #n tri l
7 1 0 0 #n nwfsc
8 1 0 0 # N Lam Research
#_yr	month	fleet	obs	stderr
1981	7	1	2861.465365	0.370499494	#PacFIN	n
1982	7	1	2742.763797	0.359821054	#PacFIN	n
1983	7	1	1442.027932	0.358240587	#PacFIN	n
1984	7	1	710.2714465	0.384037434	#PacFIN	n
1985	7	1	637.45415	0.335089923	#PacFIN	n
1986	7	1	533.3758588	0.353276019	#PacFIN	n
1987	7	1	1264.042918	0.068028509	#PacFIN	n
1988	7	1	806.7031252	0.065568437	#PacFIN	n
1989	7	1	878.9840759	0.065395815	#PacFIN	n
1990	7	1	766.6979664	0.066627137	#PacFIN	n
1991	7	1	716.221548	0.06600996	#PacFIN	n
1992	7	1	446.9763045	0.066731813	#PacFIN	n
1993	7	1	462.1478691	0.067339322	#PacFIN	n
1994	7	1	497.741442	0.066971962	#PacFIN	n
1995	7	1	499.2341291	0.067701604	#PacFIN	n
1996	7	1	519.5456202	0.068434899	#PacFIN	n
1997	7	1	530.3482222	0.069662542	#PacFIN	n
2004	7	2	7.349354386	0.139297555	#OR Fix LE Logbook
2005	7	2	8.157397969	0.131370267	#OR Fix LE Logbook
2006	7	2	9.241507813	0.136704097	#OR Fix LE Logbook
2007	7	2	8.228964006	0.144960908	#OR Fix LE Logbook
2008	7	2	7.196954955	0.135439667	#OR Fix LE Logbook
2009	7	2	8.42526236	0.136171202	#OR Fix LE Logbook
2010	7	2	11.1199618	0.131289021	#OR Fix LE Logbook
2011	7	2	9.984758641	0.125725153	#OR Fix LE Logbook
2012	7	2	9.528802958	0.124109522	#OR Fix LE Logbook
2013	7	2	8.399188794	0.128261585	#OR Fix LE Logbook
2014	7	2	7.842114606	0.129137235	#OR Fix LE Logbook
2015	7	2	8.974439817	0.130884483	#OR Fix LE Logbook
2016	7	2	6.730416621	0.145258789	#OR Fix LE Logbook
1981	7	3	1.030067309	0.069498739	# WA Rec
1982	7	3	1.069579933	0.071013413	# WA Rec
1983	7	3	0.8824284	0.063317347	# WA Rec
1984	7	3	0.970799424	0.056009675	# WA Rec
1985	7	3	0.728565864	0.048415695	# WA Rec
1986	7	3	0.627256444	0.036704413	# WA Rec
1987	7	3	0.748167911	0.038485116	# WA Rec
1988	7	3	0.737708298	0.052163142	# WA Rec
1989	7	3	0.876710425	0.04502962	# WA Rec
1990	7	3	0.611598116	0.027269233	# WA Rec
1991	7	3	0.682121503	0.026153582	# WA Rec
1992	7	3	0.923306388	0.026800555	# WA Rec
1993	7	3	1.020219584	0.040848682	# WA Rec
1994	7	3	1.162384281	0.050991147	# WA Rec
1995	7	3	0.707511406	0.021387808	# WA Rec
1996	7	3	0.585144839	0.023004165	# WA Rec
1997	7	3	0.631651127	0.024425269	# WA Rec
1998	7	3	0.36403176	0.081055922	# WA Rec
1999	7	3	0.444270991	0.075112363	# WA Rec
2000	7	3	0.372056294	0.069716349	# WA Rec
2001	7	3	0.456786682	0.038584285	# WA Rec
2002	7	3	0.543526614	0.034226287	# WA Rec
2003	7	3	0.637464636	0.024755534	# WA Rec
2004	7	3	0.745033779	0.027896414	# WA Rec
2005	7	3	0.614395982	0.026894546	# WA Rec
2006	7	3	0.496617253	0.058289971	# WA Rec
2007	7	3	0.515626066	0.038045106	# WA Rec
2008	7	3	0.548158867	0.035240734	# WA Rec
2009	7	3	0.589421666	0.033010589	# WA Rec
2010	7	3	0.748979179	0.023996759	# WA Rec
2011	7	3	0.973267162	0.028880091	# WA Rec
2012	7	3	0.954482181	0.029751739	# WA Rec
2013	7	3	0.865182114	0.029527546	# WA Rec
2014	7	3	0.844614298	0.018884231	# WA Rec
2015	7	3	0.852247208	0.033247098	# WA Rec
2016	7	3	1.07423607	0.052514362	# WA Rec
1986	7	4	0.080022548	0.032110273	#OR ORBS dockside
1987	7	4	0.086019594	0.031510598	#OR ORBS dockside
1988	7	4	0.076850653	0.030220647	#OR ORBS dockside
1989	7	4	0.076644887	0.026308496	#OR ORBS dockside
1990	7	4	0.070865208	0.028356681	#OR ORBS dockside
1991	7	4	0.075816298	0.031666496	#OR ORBS dockside
1992	7	4	0.110621073	0.023696431	#OR ORBS dockside
1993	7	4	0.145978391	0.018558641	#OR ORBS dockside
1994	7	4	0.147842394	0.017540772	#OR ORBS dockside
1995	7	4	0.068156309	0.023173321	#OR ORBS dockside
1996	7	4	0.073327685	0.024648026	#OR ORBS dockside
1997	7	4	0.068248693	0.023547057	#OR ORBS dockside
1998	7	4	0.039891414	0.027286232	#OR ORBS dockside
1999	7	4	0.061649735	0.026395703	#OR ORBS dockside
2000	7	4	0.042442027	0.027734932	#OR ORBS dockside
2001	7	4	0.034458258	0.028309415	#OR ORBS dockside
2002	7	4	0.040684482	0.02845215	#OR ORBS dockside
2003	7	4	0.080500469	0.023306999	#OR ORBS dockside
2004	7	4	0.064151236	0.029396461	#OR ORBS dockside
2005	7	4	0.083482478	0.019124197	#OR ORBS dockside
2006	7	4	0.065722944	0.021438031	#OR ORBS dockside
2007	7	4	0.058381483	0.025624799	#OR ORBS dockside
2008	7	4	0.043365294	0.023909185	#OR ORBS dockside
2009	7	4	0.038737882	0.026715103	#OR ORBS dockside
2010	7	4	0.059542907	0.01974779	#OR ORBS dockside
2011	7	4	0.070368373	0.021870939	#OR ORBS dockside
2012	7	4	0.097501498	0.01740948	#OR ORBS dockside
2013	7	4	0.095371698	0.017763276	#OR ORBS dockside
2014	7	4	0.102109791	0.017342969	#OR ORBS dockside
2015	7	4	0.091770286	0.015669073	#OR ORBS dockside
2016	7	4	0.072341803	0.019033726	#OR ORBS dockside
1980	9.4	5	7399.666064	0.288918659	#tri early	n
1983	9.4	5	12507.57472	0.240424765	#tri early	n
1986	9.4	5	6684.119788	0.264237103	#tri early	n
1989	9.4	5	6054.981598	0.254207231	#tri early	n
1992	9.4	5	2799.647883	0.253184472	#tri early	n
1995	8.2	6	4478.936751	0.281720831	#tri late	n
1998	8.2	6	4010.397083	0.276539986	#tri late	n
2001	8.2	6	7536.853257	0.226617275	#tri late	n
2004	8.2	6	19659.69888	0.236501042	#tri late	n
2003	7	7	16276.45396	0.157307906	#nwfsc	n
2004	7	7	14189.44619	0.16393747	#nwfsc	n
2005	7	7	12203.82872	0.165805345	#nwfsc	n
2006	7	7	16478.86931	0.155026658	#nwfsc	n
2007	7	7	12132.67892	0.15896327	#nwfsc	n
2008	7	7	10161.49573	0.159299908	#nwfsc	n
2009	7	7	8656.258886	0.156900553	#nwfsc	n
2010	7	7	10147.63189	0.149433109	#nwfsc	n
2011	7	7	14782.90301	0.139938091	#nwfsc	n
2012	7	7	15955.16788	0.159208486	#nwfsc	n
2013	7	7	18031.75543	0.157553456	#nwfsc	n
2014	7	7	15293.28582	0.144930476	#nwfsc	n
2015	7	7	16837.75848	0.148264063	#nwfsc	n
2016	7	7	15254.64386	0.149427801	#nwfsc	n
-9999 1 1 1 1 # terminator for survey observations
#
2 #_N_fleets_with_discard
#_discard_units (1=same_as_catchunits(bio/num); 2=fraction; 3=numbers)
#_discard_errtype:  >0 for DF of T-dist(read CV below); 0 for normal with CV; -1 for normal with se; -2 for lognormal
# note, only have units and errtype for fleets with discard 
#_Fleet units errtype
#n
1 2 -1 # Trawl
2 2 -1 # Fix
#_yr	month	fleet	obs	stderr
2002	7	2	0.254776209	0.126641015	#ncs
2003	7	2	0.349675677	0.064403604	#ncs
2004	7	2	0.431021867	0.041283817	#ncs
2005	7	2	0.508109877	0.071860247	#ncs
2006	7	2	0.608335779	0.09661062	#ncs
2007	7	2	0.327327186	0.044525912	#ncs
2008	7	2	0.505071706	0.068156263	#ncs
2009	7	2	0.472367768	0.039265912	#ncs
2010	7	2	0.502435044	0.069807364	#ncs
2011	7	2	0.432581018	0.057230571	#combo
2012	7	2	0.358862844	0.040569966	#combo
2013	7	2	0.582956147	0.068127686	#combo
2014	7	2	0.412810084	0.041568536	#combo
2015	7	2	0.371959668	0.063064486	#combo
2002	7	1	0.75749313	0.02821769	#ncs
2003	7	1	0.760037706	0.04514214	#ncs
2004	7	1	0.708355696	0.05791664	#ncs
2005	7	1	0.87768181	0.025920686	#ncs
2006	7	1	0.755103403	0.035359635	#ncs
2007	7	1	0.571854749	0.062271444	#ncs
2008	7	1	0.432727151	0.127230861	#ncs
2009	7	1	0.593266368	0.081629403	#ncs
2010	7	1	0.213413516	0.081881512	#ncs
2011	7	1	0.136173192	0.03	#cs
2012	7	1	0.06513872	0.03	#cs
2013	7	1	0.038161418	0.03	#cs
2014	7	1	0.050064942	0.03	#cs
2015	7	1	0.067594534	0.03	#cs
-9999 0 0 0.0 0.0 # terminator for discard data
#
0 #_use meanbodysize_data (0/1)
#_COND_30 #_DF_for_meanbodysize_T-distribution_like
# note:  use positive partition value for mean body wt, negative partition for mean body length 
#_yr month fleet part obs stderr
#  -9999 0 0 0 0 0 # terminator for mean body size data 
#
# set up population length bin structure (note - irrelevant if not using size data and using empirical wtatage
2 # length bin method: 1=use databins; 2=generate from binwidth,min,max below; 3=read vector
2
10
140
1 # use length composition data (0/1)
#_mintailcomp: upper and lower distribution for females and males separately are accumulated until exceeding this level.
#_addtocomp:  after accumulation of tails; this value added to all bins
#_males and females treated as combined gender below this bin number 
#_compressbins: accumulate upper tail by this number of bins; acts simultaneous with mintailcomp; set=0 for no forced accumulation
#_Comp_Error:  0=multinomial, 1=dirichlet
#_Comp_Error2:  parm number  for dirichlet
#_mintailcomp_addtocomp_combM+F_CompressBins_CompError_ParmSelect
-1 0.001 0 0 0 0 0.001
-1 0.001 0 0 0 0 0.001
-1 0.001 0 0 0 0 0.001
-1 0.001 0 0 0 0 0.001
-1 0.001 0 0 0 0 0.001
-1 0.001 0 0 0 0 0.001
-1 0.001 0 0 0 0 0.001
-1 0.001 0 0 0 0 0.001
# sex codes:  0=combined; 1=use female only; 2=use male only; 3=use both as joint sexxlength distribution
# partition codes:  (0=combined; 1=discard; 2=retained)
61 #_N_LengthBins; then enter lower edge of each length bin
